TrackID,StepNumber,PosX(mm),PosY(mm),PosZ(mm),KineticEnergy(MeV)
2592,1,434.12,-37.9806,-4980.97,2500
2592,2,420.932,-36.8268,-4829.65,2499.97
2592,3,418.637,-36.6248,-4803.34,2499.96
2592,4,416.908,-36.4722,-4783.52,2499.96
2592,5,398.95,-34.8899,-4577.72,2499.92
2592,6,398.91,-34.8864,-4577.27,2499.92
2592,7,398.226,-34.8259,-4569.43,2499.92
2592,8,389.709,-34.0734,-4471.84,2499.89
2592,9,359.702,-31.3999,-4127.66,2499.83
2592,10,350.63,-30.5846,-4023.75,2499.81
2592,11,339.672,-29.6005,-3898.19,2499.79
2592,12,336.736,-29.3384,-3864.59,2499.78
2592,13,333.397,-29.0402,-3826.36,2499.77
2592,14,329.847,-28.724,-3785.68,2499.75
2592,15,329.586,-28.7007,-3782.7,2499.75
2592,16,295.909,-25.6858,-3396.98,2499.68
2592,17,283.957,-24.5994,-3259.99,2499.66
2592,18,248.178,-21.3515,-2849.83,2499.59
2592,19,244.029,-20.9723,-2802.28,2499.58
2592,20,237.156,-20.3492,-2723.54,2499.57
2592,21,233.633,-20.0326,-2683.18,2499.56
2592,22,213.643,-18.247,-2454.02,2499.52
2592,23,196.669,-16.754,-2259.31,2499.49
2592,24,156.494,-13.1632,-1799.09,2499.4
2592,25,139.119,-11.601,-1600,2499.37
2592,26,136.73,-11.5253,-1572.84,2488.05
2592,27,136.361,-11.5188,-1568.54,2440.64
2592,28,135.845,-11.5263,-1562.41,2436.4
2592,29,135.149,-11.5318,-1554.11,2424.48
2592,30,131.758,-11.5059,-1512.29,2406.3
2592,31,130.636,-11.4766,-1497.88,2400.61
2592,32,130.124,-11.4827,-1491.28,2397.8
2592,33,128.839,-11.4913,-1474.91,2391.93
2592,34,128.127,-11.4834,-1465.72,2387.81
2592,35,127.142,-11.4929,-1452.6,2382.47
2592,36,124.599,-11.5207,-1418.46,2369.74
2592,37,124.475,-11.5223,-1416.85,2368.5
2592,38,124.457,-11.5226,-1416.61,2367.73
2592,39,122.114,-11.5601,-1386.08,2353.43
2592,40,111.309,-11.6199,-1248.96,2295.15
2592,41,107.248,-11.2023,-1199.04,2276.35
2592,42,101.79,-10.3831,-1134.49,2253.78
2592,43,100.428,-10.1369,-1117.68,2247.68
2592,44,100.203,-10.09,-1114.86,2245.78
2592,45,99.5685,-9.95111,-1106.84,2234.52
2592,46,98.9631,-9.8138,-1098.99,2230.76
2592,47,93.0849,-7.26725,-999.194,2196.4
2592,48,89.619,-5.41335,-940.151,2175.08
2592,49,88.1293,-4.62071,-915.457,2164.61
2592,50,83.3961,-2.33816,-838.164,2133.4
2592,51,82.934,-2.1226,-830.487,2130.02
2592,52,74.4258,1.73229,-691.332,2081.31
2592,53,72.8476,2.94365,-660.19,2058.83
2592,54,69.1191,5.15828,-587.039,2031.7
2592,55,66.6036,6.71065,-535.148,2013.97
2592,56,66.0758,7.02751,-523.658,1999.54
2592,57,62.0379,9.14103,-442.692,1970.3
2592,58,60.015,9.90338,-398.751,1954.57
2592,59,59.8141,9.97031,-393.921,1952.21
2592,60,59.3727,10.1213,-383.544,1947.95
2592,61,58.4871,10.4199,-363.201,1938.81
2592,62,58.2669,10.492,-357.787,1930.4
2592,63,57.4649,10.7371,-337.13,1908.58
2592,64,55.1913,11.3968,-272.545,1884.99
2592,65,52.9701,12.1148,-197.742,1857.74
2592,66,52.1991,12.3412,-172.013,1847.98
2592,67,52.1392,12.3624,-170.018,1843.07
2592,68,50.1761,13.0306,-103.433,1818.68
2592,69,49.3949,13.3206,-81.4277,1810.15
2592,70,49.3269,13.3176,-78.876,1806.47
2592,71,48.2987,12.6861,-34.8342,1788.71
2592,72,47.944,11.9495,-3.46079,1776.59
2592,73,47.7273,11.5268,11.2509,1770.92
2592,74,47.4563,11.0776,28.1146,1763.64
2592,75,46.6845,10.0432,68.8831,1747.18
2592,76,46.2895,9.60791,83.7911,1739.29
2592,77,45.6392,9.08508,104.809,1730.8
2592,78,45.243,8.61649,121.066,1724.08
2592,79,44.7059,7.9752,141.247,1716.57
2592,80,43.5402,6.61799,183.285,1700.29
2592,81,43.2423,6.33431,191.453,1693.71
2592,82,43.2172,6.31101,192.157,1689.02
2592,83,41.9394,5.04211,229.717,1675.72
2592,84,41.1983,4.25243,251.349,1667.75
2592,85,40.5411,3.51871,269.876,1660.4
2592,86,39.426,2.32455,299.552,1639.13
2592,87,34.7282,-2.62277,412.97,1596.43
2592,88,31.2928,-8.81605,515.936,1545.61
2592,89,30.616,-10.6238,540.682,1535.25
2592,90,29.9006,-12.4657,567.251,1524.96
2592,91,27.9502,-17.6513,642.184,1496.62
2592,92,27.2193,-20.0917,674.05,1482.91
2592,93,26.9573,-21.1661,687.297,1477.91
2592,94,26.8225,-21.6973,694.151,1474.38
2592,95,26.1719,-24.2239,725.928,1458.94
2592,96,25.7051,-26.1345,752.167,1448.59
2592,97,25.1261,-27.8737,777.08,1435.31
2592,98,24.6838,-29.3194,798.95,1426.83
2592,99,24.1655,-30.7574,820.756,1418.68